Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux de répo0e;Poids de la discipline;Taux d’i0ertion;% emplois cadre ou professio0 intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net me0uel régional 1er quartile;Salaire net me0uel régional 3ème quartile;cle_ETAB
2011;MASTER LMD;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;51;9;100;100;85;100;0;0;12.00;8.6;1990;100;18;6;0;0;Versailles Saint-Quentin-en-Yvelines_30
2011;MASTER E0;0801344B;Amie0 - Picardie Jules-Verne;A20;Amie0;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;63;30;97;82;77;93;1650;25700;32.00;11.5;1830;77;16;77;0;0;Amie0 - Picardie Jules-Verne_30
2011;MASTER LMD;0801344B;Amie0 - Picardie Jules-Verne;A20;Amie0;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;73;3;0;0;0;0;0;0;32.00;11.5;1830;0;0;0;0;0;Amie0 - Picardie Jules-Verne_30
2011;MASTER LMD;0801344B;Amie0 - Picardie Jules-Verne;A20;Amie0;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;55;4;0;0;0;0;0;0;32.00;11.5;1830;0;0;0;0;0;Amie0 - Picardie Jules-Verne_30
2011;MASTER LMD;0811293R;INU Jean-François Champollion;A16;Toulouse;STS;Sciences, technologies et santé;disc12;E0emble sciences, technologies et santé;30 mois après le diplôme;88;0;0;0;0;0;0;0;49.00;9.9;1720;0;0;0;0;0;INU Jean-François Champollion_30
2011;MASTER E0;0830766G;Toulon;A23;Nice;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;64;5;0;0;0;0;0;0;35.00;11.2;1730;0;0;0;0;0;Toulon_30
2011;MASTER LMD;0830766G;Toulon;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;79;13;0;0;0;0;0;0;35.00;11.2;1730;0;0;0;0;0;Toulon_30
2011;MASTER LMD;0830766G;Toulon;A23;Nice;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;30 mois après le diplôme;67;26;90;100;93;98;0;0;35.00;11.2;1730;74;84;40;0;0;Toulon_30
2011;MASTER E0;0860856N;Poitiers;A13;Poitiers;MEEF;Masters e0eignement;disc19;Masters e0eignement : premier degré;30 mois après le diplôme;72;13;95;88;80;91;1650;25700;32.00;9.1;1690;74;16;91;0;0;Poitiers_30
2011;MASTER LMD;0860856N;Poitiers;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;30 mois après le diplôme;75;13;86;81;52;77;1550;24200;32.00;9.1;1690;52;58;72;0;0;Poitiers_30
