Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux de répo0e;Poids de la discipline;Taux d’i0ertion;% emplois cadre ou professio0 intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net me0uel régional 1er quartile;Salaire net me0uel régional 3ème quartile;cle_ETAB
2015;MASTER E0;0342321N;Montpellier;A11;Montpellier;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;58;100;98;97;93;94;1830;28600;22.00;10.5;1770;89;36;65;1400;2110;Montpellier_30
2015;MASTER LMD;0342321N;Montpellier;A11;Montpellier;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;60;26;91;74;66;98;1730;27000;33.00;10.5;1770;35;48;50;1400;2110;Montpellier_18
2015;MASTER LMD;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;66;24;82;90;62;92;1800;28100;33.00;10.5;1770;58;64;50;1400;2110;Montpellier_30
2015;MASTER LMD;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc14;Sciences fo0amentales;18 mois après le diplôme;75;6;87;90;54;97;1960;30600;33.00;10.5;1770;64;77;59;1400;2110;Montpellier_18
2015;MASTER LMD;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;64;3;0;0;0;0;0;0;33.00;10.5;1770;0;0;0;1400;2110;Montpellier_30
2015;MASTER LMD;0342321N;Montpellier;A11;Montpellier;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;70;6;93;92;70;80;1700;26500;33.00;10.5;1770;49;64;52;1400;2110;Montpellier_30
2015;MASTER LMD;0350936C;Rennes 1;A14;Rennes;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;75;7;84;73;61;94;1900;29600;31.00;7.4;1750;54;50;52;1420;2080;Rennes 1_30
2015;MASTER LMD;0350936C;Rennes 1;A14;Rennes;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;79;37;96;84;87;100;2110;32900;31.00;7.4;1750;57;55;50;1420;2080;Rennes 1_30
2015;MASTER LMD;0350936C;Rennes 1;A14;Rennes;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;100;0;0;0;0;0;0;0;31.00;7.4;1750;0;0;0;1420;2080;Rennes 1_30
2015;MASTER LMD;0350936C;Rennes 1;A14;Rennes;STS;Sciences, technologies et santé;disc12;E0emble sciences, technologies et santé;18 mois après le diplôme;77;43;87;87;59;99;1750;27300;31.00;7.4;1750;67;53;40;1420;2080;Rennes 1_18
2015;MASTER LMD;0350936C;Rennes 1;A14;Rennes;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;71;22;78;88;69;99;1700;26500;31.00;7.4;1750;53;68;62;1420;2080;Rennes 1_30
2015;MASTER LMD;0350937D;Rennes 2;A14;Rennes;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;77;35;77;70;56;87;1500;23400;40.00;7.4;1750;38;72;78;1420;2080;Rennes 2_18
2015;MASTER LMD;0350937D;Rennes 2;A14;Rennes;STS;Sciences, technologies et santé;disc14;Sciences fo0amentales;18 mois après le diplôme;86;3;0;0;0;0;0;0;40.00;7.4;1750;0;0;0;1420;2080;Rennes 2_18
